post_row_id,source_row_number,post_id,source_platform,platform,country,region,content_key,main_hashtag,post_published_at,post_date,published_day_of_week,published_day_sort,published_month,post_hour,published_hour_bucket,engagement_level,content_type,promotion_type,content_category,post_type,engagement,views,likes,shares,comments,engagement_rate,impressions,video_views,live_stream_views,clicks,click_through_rate,reach_efficiency,click_efficiency,view_efficiency,video_view_share,live_stream_view_share,is_click_trackable,is_video_post,is_live_stream_post,is_challenge_scope,scope_segment,longitude,latitude
post_row_1,1,Post_1,TikTok,TikTok,UK,Europe,Organic | Organic | Product Promotion | Video,#FeatureHighlight,2024-03-14 15:42:00,2024-03-14,Thursday,4,2024-03,15,14:00-15:59,Low,Organic,Organic,Product Promotion,Video,54510,599342,125741,35920,15727,0.09095056986556643,677975,465645,0,16813.0,0.0248,0.08040119473431911,0.024798849515100113,0.8840178472657546,0.7769270299762072,0.0,True,True,False,False,Full Workbook Only,-3.436,55.3781
post_row_12,12,Post_12,X.com,X (Twitter),Australia,APAC,Organic | Organic | Educational | Text,#SuccessStory,2024-04-23 15:15:00,2024-04-23,Tuesday,2,2024-04,15,14:00-15:59,High,Organic,Organic,Educational,Text,22233,91670,11104,6426,2106,0.2425338334647425,118930,0,0,,,0.18694189859581267,,0.7707895400655848,0.0,0.0,False,False,False,False,Full Workbook Only,133.7751,-25.2744
post_row_13,13,Post_13,YouTube,YouTube,Canada,North America,Sponsored | Paid/Promoted | Educational | Video,#CustomerStory,2025-02-07 09:08:00,2025-02-07,Friday,5,2025-02,9,08:00-09:59,Medium,Sponsored,Paid/Promoted,Educational,Video,226309,1492308,150466,105615,72040,0.1516509348984698,1859119,1492308,0,,,0.12172916311435686,,0.802696330896516,1.0,0.0,False,True,False,False,Full Workbook Only,-106.3468,56.1304
post_row_14,14,Post_14,YouTube,YouTube,Japan,APAC,Organic | Organic | Educational | Video,#CustomerStory,2025-04-22 19:01:00,2025-04-22,Tuesday,2,2025-04,19,18:00-19:59,High,Organic,Organic,Educational,Video,71888,311167,67115,10487,10685,0.2310287511073854,349494,281653,0,,,0.2056916570813805,,0.89033574253063,0.9051506104439095,0.0,False,True,False,False,Full Workbook Only,138.2529,36.2048
post_row_15,15,Post_15,X.com,X (Twitter),Germany,Europe,Organic | Organic | Entertainment | Text,#FunContent,2024-05-16 15:46:00,2024-05-16,Thursday,4,2024-05,15,14:00-15:59,Low,Organic,Organic,Entertainment,Text,53010,566252,84730,18787,18368,0.09361641478077531,659704,0,0,,,0.0803542194681251,,0.8583425293768114,0.0,0.0,False,False,False,False,Full Workbook Only,10.4515,51.1657
post_row_16,16,Post_16,YouTube,YouTube,Canada,North America,Organic | Organic | Product Promotion | Live Stream,#ProductDemo,2025-01-07 15:38:00,2025-01-07,Tuesday,2,2025-01,15,14:00-15:59,Low,Organic,Organic,Product Promotion,Live Stream,30263,347554,72792,21505,19285,0.08707483669899957,415133,0,679391,,,0.072899528584815,,0.8372112070107652,0.0,1.9547782502862865,False,False,True,False,Full Workbook Only,-106.3468,56.1304
post_row_17,17,Post_17,X.com,X (Twitter),UK,Europe,Organic | Organic | Educational | Image,#SuccessStory,2024-12-01 11:31:00,2024-12-01,Sunday,7,2024-12,11,10:00-11:59,Medium,Organic,Organic,Educational,Image,58337,347296,63968,23806,13805,0.1679771625535686,418334,0,0,,,0.13945077378362744,,0.8301883184249905,0.0,0.0,False,False,False,False,Full Workbook Only,-3.436,55.3781
post_row_18,18,Post_18,TikTok,TikTok,UK,Europe,Sponsored | Paid/Promoted | Educational | Video,#CustomerStory,2024-06-11 10:59:00,2024-06-11,Tuesday,2,2024-06,10,10:00-11:59,Medium,Sponsored,Paid/Promoted,Educational,Video,510212,2596696,426198,81201,63140,0.1964853715284592,2872688,2596696,0,31312.0,0.0109,0.1776078710949466,0.010899895846677398,0.9039255220197947,1.0,0.0,True,True,False,True,Challenge Scope,-3.436,55.3781
post_row_19,19,Post_19,TikTok,TikTok,USA,North America,Organic | Organic | Product Promotion | Video,#FeatureHighlight,2024-01-16 11:03:00,2024-01-16,Tuesday,2,2024-01,11,10:00-11:59,Medium,Organic,Organic,Product Promotion,Video,29522,216249,38121,16300,6481,0.1365221792670275,255622,3466,0,3246.0,0.0127,0.11549084194631135,0.012698437536675248,0.8459717864659536,0.016027819781825582,0.0,True,True,False,False,Full Workbook Only,-95.7129,37.0902
post_row_20,20,Post_20,YouTube,YouTube,UK,Europe,Organic | Organic | Educational | Video,#CustomerStory,2024-10-14 12:04:00,2024-10-14,Monday,1,2024-10,12,12:00-13:59,Medium,Organic,Organic,Educational,Video,58869,354249,75572,14680,8175,0.1661820879766945,410202,308035,0,,,0.14351222080828469,,0.8635964719820967,0.8695437390084376,0.0,False,True,False,False,Full Workbook Only,-3.436,55.3781
post_row_21,21,Post_21,X.com,X (Twitter),Brazil,Latin America,Organic | Organic | Product Promotion | Video,#ProductDemo,2024-06-17 17:58:00,2024-06-17,Monday,1,2024-06,17,16:00-17:59,Medium,Organic,Organic,Product Promotion,Video,340149,2376086,548208,166762,65253,0.1431555054837156,3037853,2376086,0,,,0.11197019737294728,,0.782159637085797,1.0,0.0,False,True,False,True,Challenge Scope,-51.9253,-14.235
post_row_22,22,Post_22,TikTok,TikTok,USA,North America,Organic | Organic | Product Promotion | Live Stream,#FeatureHighlight,2025-01-26 15:13:00,2025-01-26,Sunday,7,2025-01,15,14:00-15:59,Medium,Organic,Organic,Product Promotion,Live Stream,49757,365818,66176,25743,20428,0.1360166342696275,425666,0,77512,4937.0,0.0116,0.1168921172938407,0.011598295377126668,0.859401502586535,0.0,0.2118867852320006,True,False,True,False,Full Workbook Only,-95.7129,37.0902
post_row_23,23,Post_23,YouTube,YouTube,Brazil,Latin America,Organic | Organic | Product Promotion | Video,#ProductDemo,2024-11-14 19:45:00,2024-11-14,Thursday,4,2024-11,19,18:00-19:59,Medium,Organic,Organic,Product Promotion,Video,197894,1705918,379911,124594,34592,0.1160048022200004,2050768,1705918,0,,,0.09649750727532319,,0.8318434849773353,1.0,0.0,False,True,False,False,Full Workbook Only,-51.9253,-14.235
post_row_24,24,Post_24,X.com,X (Twitter),Japan,APAC,Organic | Organic | Product Promotion | Video,#ProductDemo,2024-08-11 11:42:00,2024-08-11,Sunday,7,2024-08,11,10:00-11:59,Medium,Organic,Organic,Product Promotion,Video,113610,902363,146734,37091,22373,0.1259034396147534,1053529,902363,0,,,0.10783756308559138,,0.856514628453512,1.0,0.0,False,True,False,False,Full Workbook Only,138.2529,36.2048
post_row_25,25,Post_25,YouTube,YouTube,Germany,Europe,Organic | Organic | Educational | Video,#CustomerStory,2024-08-30 12:00:00,2024-08-30,Friday,5,2024-08,12,12:00-13:59,High,Organic,Organic,Educational,Video,58395,233871,41586,15236,8079,0.2496911330711916,302712,204799,0,,,0.1929061285974788,,0.7725858241496868,0.8756921550769441,0.0,False,True,False,False,Full Workbook Only,10.4515,51.1657
post_row_26,26,Post_26,YouTube,YouTube,Brazil,Latin America,Organic | Organic | Event / Webinar | Live Stream,#WebinarReplay,2024-05-22 10:02:00,2024-05-22,Wednesday,3,2024-05,10,10:00-11:59,Medium,Organic,Organic,Event / Webinar,Live Stream,42412,290405,70965,12368,11584,0.1460466657332568,336920,0,927260,,,0.12588151489967944,,0.8619405200047489,0.0,3.192989101427317,False,False,True,False,Full Workbook Only,-51.9253,-14.235
post_row_27,27,Post_27,Instagram,Instagram,India,APAC,Organic | Organic | Product Promotion | Video,#ProductDemo,2024-06-27 17:00:00,2024-06-27,Thursday,4,2024-06,17,16:00-17:59,Medium,Organic,Organic,Product Promotion,Video,250854,2076760,364267,67648,64682,0.1207913176122867,2661686,2076760,0,,,0.09424627848664342,,0.7802422975512513,1.0,0.0,False,True,False,True,Challenge Scope,78.9629,20.5937
post_row_28,28,Post_28,YouTube,YouTube,Canada,North America,Organic | Organic | Entertainment | Video,#TrendingNow,2024-09-19 15:50:00,2024-09-19,Thursday,4,2024-09,15,14:00-15:59,Low,Organic,Organic,Entertainment,Video,35665,413478,56205,15399,16364,0.08625679270355482,536334,397501,0,,,0.0664977420786301,,0.7709337837989014,0.9613594919197636,0.0,False,True,False,False,Full Workbook Only,-106.3468,56.1304
post_row_29,29,Post_29,Instagram,Instagram,Canada,North America,Organic | Organic | Event / Webinar | Live Stream,#EventRecap,2025-01-17 12:34:00,2025-01-17,Friday,5,2025-01,12,12:00-13:59,Medium,Organic,Organic,Event / Webinar,Live Stream,35525,326729,69999,13684,16051,0.108730470235598,383434,0,352922,,,0.09264958245747638,,0.85211274952143,0.0,1.080167355820879,False,False,True,False,Full Workbook Only,-106.3468,56.1304
post_row_30,30,Post_30,YouTube,YouTube,Japan,APAC,Organic | Organic | Event / Webinar | Live Stream,#WebinarReplay,2024-07-06 11:19:00,2024-07-06,Saturday,6,2024-07,11,10:00-11:59,Medium,Organic,Organic,Event / Webinar,Live Stream,182898,1137655,221876,64605,26861,0.160768296187387,1441477,0,981170,,,0.12688235747084414,,0.7892286869648284,0.0,0.862449512374138,False,False,True,False,Full Workbook Only,138.2529,36.2048
post_row_31,31,Post_31,LinkedIn,LinkedIn,Australia,APAC,Organic | Organic | Educational | Image,#SuccessStory,2024-05-07 15:57:00,2024-05-07,Tuesday,2,2024-05,15,14:00-15:59,High,Organic,Organic,Educational,Image,84944,420660,43112,23390,12224,0.2019311521527401,517005,0,0,,,0.16430015183605576,,0.8136478370615371,0.0,0.0,False,False,False,False,Full Workbook Only,133.7751,-25.2744
post_row_32,32,Post_32,X.com,X (Twitter),USA,North America,Organic | Organic | Product Promotion | Video,#ProductDemo,2024-12-23 17:08:00,2024-12-23,Monday,1,2024-12,17,16:00-17:59,Low,Organic,Organic,Product Promotion,Video,230631,2655192,334965,171384,94178,0.08686050419553623,3418150,2655192,0,,,0.06747246317452422,,0.776792124394775,1.0,0.0,False,True,False,False,Full Workbook Only,-95.7129,37.0902
post_row_33,33,Post_33,YouTube,YouTube,USA,North America,Organic | Organic | Event / Webinar | Live Stream,#WebinarReplay,2024-04-25 10:06:00,2024-04-25,Thursday,4,2024-04,10,10:00-11:59,Medium,Organic,Organic,Event / Webinar,Live Stream,33791,211173,24711,16098,11634,0.1600170654409045,243184,0,1489976,,,0.13895239818409105,,0.8683671623133101,0.0,7.0557126147755636,False,False,True,False,Full Workbook Only,-95.7129,37.0902
post_row_34,34,Post_34,YouTube,YouTube,Australia,APAC,Organic | Organic | Educational | Video,#CustomerStory,2024-01-15 17:21:00,2024-01-15,Monday,1,2024-01,17,16:00-17:59,Medium,Organic,Organic,Educational,Video,25047,161448,35935,9325,6649,0.1551432366809223,185402,143334,0,,,0.13509563003635344,,0.8707996677489994,0.8878028839006987,0.0,False,True,False,False,Full Workbook Only,133.7751,-25.2744
post_row_35,35,Post_35,YouTube,YouTube,UK,Europe,Sponsored | Paid/Promoted | Educational | Video,#CustomerStory,2025-04-10 12:06:00,2025-04-10,Thursday,4,2025-04,12,12:00-13:59,Medium,Sponsored,Paid/Promoted,Educational,Video,49341,275988,41634,13098,13533,0.1787804515987425,353105,235164,0,,,0.13973463983800852,,0.7816032058452869,0.8520805252402278,0.0,False,True,False,False,Full Workbook Only,-3.436,55.3781
post_row_36,36,Post_36,TikTok,TikTok,Japan,APAC,Organic | Organic | Educational | Live Stream,#SuccessStory,2024-08-03 10:52:00,2024-08-03,Saturday,6,2024-08,10,10:00-11:59,Medium,Organic,Organic,Educational,Live Stream,50766,328182,76487,22642,14991,0.1546889989188161,366522,0,90407,8136.0,0.0222,0.13850737472784716,0.022197848969502512,0.895395092245486,0.0,0.2754782407322766,True,False,True,False,Full Workbook Only,138.2529,36.2048
post_row_37,37,Post_37,LinkedIn,LinkedIn,Germany,Europe,Organic | Organic | Educational | Carousel,#SuccessStory,2024-06-14 08:02:00,2024-06-14,Friday,5,2024-06,8,08:00-09:59,Medium,Organic,Organic,Educational,Carousel,49910,272628,27638,9562,12688,0.1830707475287029,300166,0,0,,,0.16627466135405075,,0.9082574308882418,0.0,0.0,False,False,False,True,Challenge Scope,10.4515,51.1657
post_row_38,38,Post_38,Instagram,Instagram,India,APAC,Organic | Organic | Product Promotion | Video,#ProductDemo,2025-01-09 10:02:00,2025-01-09,Thursday,4,2025-01,10,10:00-11:59,Medium,Organic,Organic,Product Promotion,Video,316200,2635551,327127,151377,125652,0.1199752201294809,3242761,2635551,0,,,0.09750949884989982,,0.812749074014397,1.0,0.0,False,True,False,False,Full Workbook Only,78.9629,20.5937
post_row_39,39,Post_39,TikTok,TikTok,USA,North America,Organic | Organic | Product Promotion | Video,#ProductDemo,2024-01-20 11:03:00,2024-01-20,Saturday,6,2024-01,11,10:00-11:59,Medium,Organic,Organic,Product Promotion,Video,310863,2550875,345866,118028,127185,0.1218655132430765,3137388,2550875,0,33256.0,0.0106,0.09908337763770372,0.010599900299229805,0.8130569123104953,1.0,0.0,True,True,False,False,Full Workbook Only,-95.7129,37.0902
post_row_40,40,Post_40,X.com,X (Twitter),USA,North America,Organic | Organic | Educational | Text,#SuccessStory,2025-01-24 18:18:00,2025-01-24,Friday,5,2025-01,18,18:00-19:59,Medium,Organic,Organic,Educational,Text,47357,309100,70284,19436,13208,0.153211097524668,345800,0,0,,,0.1369491035280509,,0.8938692886061307,0.0,0.0,False,False,False,False,Full Workbook Only,-95.7129,37.0902
post_row_41,41,Post_41,X.com,X (Twitter),India,APAC,Organic | Organic | Educational | Text,#SuccessStory,2024-03-29 10:16:00,2024-03-29,Friday,5,2024-03,10,10:00-11:59,High,Organic,Organic,Educational,Text,23893,113012,15437,8888,4037,0.2114286554400203,144475,0,0,,,0.1653780930956913,,0.7822252984945492,0.0,0.0,False,False,False,False,Full Workbook Only,78.9629,20.5937
post_row_42,42,Post_42,YouTube,YouTube,Australia,APAC,Organic | Organic | Event / Webinar | Live Stream,#WebinarReplay,2024-06-26 17:18:00,2024-06-26,Wednesday,3,2024-06,17,16:00-17:59,Medium,Organic,Organic,Event / Webinar,Live Stream,29587,172821,33643,12052,6931,0.1712011499766639,210043,0,1238776,,,0.14086163309417596,,0.8227886670824546,0.0,7.167971484946852,False,False,True,False,Full Workbook Only,133.7751,-25.2744
post_row_43,43,Post_43,X.com,X (Twitter),Brazil,Latin America,Organic | Organic | Event / Webinar | Image,#EventRecap,2025-04-13 14:10:00,2025-04-13,Sunday,7,2025-04,14,14:00-15:59,Medium,Organic,Organic,Event / Webinar,Image,94256,625133,88841,19514,28642,0.1507787514829506,709789,0,0,,,0.13279439382689787,,0.8807307523785237,0.0,0.0,False,False,False,False,Full Workbook Only,-51.9253,-14.235
post_row_44,44,Post_44,YouTube,YouTube,Brazil,Latin America,Organic | Organic | Entertainment | Video,#TrendingNow,2024-08-30 12:02:00,2024-08-30,Friday,5,2024-08,12,12:00-13:59,Low,Organic,Organic,Entertainment,Video,90944,1357131,329904,102793,47236,0.06701200803634172,1497039,1357131,0,,,0.060749252357487016,,0.9065435169023652,1.0,0.0,False,True,False,False,Full Workbook Only,-51.9253,-14.235
post_row_45,45,Post_45,X.com,X (Twitter),Germany,Europe,Organic | Organic | Educational | Video,#CustomerStory,2024-01-26 12:18:00,2024-01-26,Friday,5,2024-01,12,12:00-13:59,High,Organic,Organic,Educational,Video,461737,1906900,467187,149083,103202,0.2421403300362078,2209886,1906900,0,,,0.2089415472110326,,0.862895190068628,1.0,0.0,False,True,False,False,Full Workbook Only,10.4515,51.1657
post_row_46,46,Post_46,LinkedIn,LinkedIn,Brazil,Latin America,Sponsored | Paid/Promoted | Educational | Image,#SuccessStory,2024-03-20 12:58:00,2024-03-20,Wednesday,3,2024-03,12,12:00-13:59,Medium,Sponsored,Paid/Promoted,Educational,Image,56165,324034,51121,23510,10588,0.1733334701429106,367421,0,0,,,0.15286279227371327,,0.8819147517425514,0.0,0.0,False,False,False,False,Full Workbook Only,-51.9253,-14.235
post_row_47,47,Post_47,LinkedIn,LinkedIn,Japan,APAC,Organic | Organic | Educational | Image,#DidYouKnow,2025-01-24 17:57:00,2025-01-24,Friday,5,2025-01,17,16:00-17:59,High,Organic,Organic,Educational,Image,76384,321010,65615,18780,7667,0.23795022902324,392595,0,0,,,0.19456182580012482,,0.8176619671671824,0.0,0.0,False,False,False,False,Full Workbook Only,138.2529,36.2048
post_row_48,48,Post_48,Instagram,Instagram,India,APAC,Organic | Organic | Product Promotion | Live Stream,#FeatureHighlight,2025-04-04 12:20:00,2025-04-04,Friday,5,2025-04,12,12:00-13:59,Low,Organic,Organic,Product Promotion,Live Stream,24245,259247,64424,9593,10559,0.09352372693263067,330662,0,396307,,,0.07332260737550732,,0.7840241696959432,0.0,1.5286849992478215,False,False,True,False,Full Workbook Only,78.9629,20.5937
post_row_49,49,Post_49,X.com,X (Twitter),USA,North America,Organic | Organic | Event / Webinar | Text,#EventRecap,2024-10-09 17:50:00,2024-10-09,Wednesday,3,2024-10,17,16:00-17:59,Medium,Organic,Organic,Event / Webinar,Text,37651,358305,55151,16008,18766,0.1050816989830546,452189,0,0,,,0.08326385648478844,,0.7923788504364325,0.0,0.0,False,False,False,False,Full Workbook Only,-95.7129,37.0902
post_row_50,50,Post_50,LinkedIn,LinkedIn,Japan,APAC,Organic | Organic | Educational | Image,#TrendingNow,2024-04-18 11:15:00,2024-04-18,Thursday,4,2024-04,11,10:00-11:59,Medium,Organic,Organic,Educational,Image,56148,355380,84220,19747,14236,0.1579951514988066,447657,0,0,,,0.1254263867201898,,0.7938667327887199,0.0,0.0,False,False,False,False,Full Workbook Only,138.2529,36.2048
post_row_51,51,Post_51,YouTube,YouTube,Australia,APAC,Organic | Organic | Entertainment | Video,#TrendingNow,2024-09-13 14:16:00,2024-09-13,Friday,5,2024-09,14,14:00-15:59,Low,Organic,Organic,Entertainment,Video,66461,766176,168075,57080,25682,0.08674468219319356,900346,721558,0,,,0.07381717695197179,,0.8509795123208189,0.9417653385123,0.0,False,True,False,False,Full Workbook Only,133.7751,-25.2744
post_row_52,52,Post_52,YouTube,YouTube,Canada,North America,Organic | Organic | Event / Webinar | Live Stream,#WebinarReplay,2024-06-02 16:16:00,2024-06-02,Sunday,7,2024-06,16,16:00-17:59,Medium,Organic,Organic,Event / Webinar,Live Stream,59324,348820,39799,20550,7477,0.1700714887696159,416183,0,1313966,,,0.14254306398867805,,0.8381409139729398,0.0,3.766888366492747,False,False,True,False,Full Workbook Only,-106.3468,56.1304
post_row_53,53,Post_53,YouTube,YouTube,Japan,APAC,Organic | Organic | Educational | Video,#CustomerStory,2025-04-29 12:49:00,2025-04-29,Tuesday,2,2025-04,12,12:00-13:59,Medium,Organic,Organic,Educational,Video,62842,318626,33320,10153,16856,0.1972285542620714,373441,302283,0,,,0.16827825546739644,,0.8532164384735473,0.948707889500543,0.0,False,True,False,False,Full Workbook Only,138.2529,36.2048
post_row_54,54,Post_54,X.com,X (Twitter),Canada,North America,Organic | Organic | Customer Story | Text,#SuccessStory,2024-05-06 14:37:00,2024-05-06,Monday,1,2024-05,14,14:00-15:59,High,Organic,Organic,Customer Story,Text,22102,88728,10563,4978,4507,0.2491072822937192,101430,0,0,,,0.2179039731834763,,0.8747707778763679,0.0,0.0,False,False,False,False,Full Workbook Only,-106.3468,56.1304
post_row_55,55,Post_55,X.com,X (Twitter),USA,North America,Organic | Organic | Customer Story | Text,#SuccessStory,2025-04-16 18:13:00,2025-04-16,Wednesday,3,2025-04,18,18:00-19:59,High,Organic,Organic,Customer Story,Text,38446,176963,19068,10010,7366,0.2172582717000575,217219,0,0,,,0.17699188376707378,,0.8146755118106611,0.0,0.0,False,False,False,False,Full Workbook Only,-95.7129,37.0902
post_row_56,56,Post_56,YouTube,YouTube,Australia,APAC,Organic | Organic | Customer Story | Video,#CustomerStory,2024-09-30 15:14:00,2024-09-30,Monday,1,2024-09,15,14:00-15:59,Medium,Organic,Organic,Customer Story,Video,45706,271645,56750,21403,11042,0.16825908833249,316355,243887,0,,,0.14447693255994057,,0.8586714292487869,0.897815163172523,0.0,False,True,False,False,Full Workbook Only,133.7751,-25.2744
post_row_57,57,Post_57,Instagram,Instagram,Australia,APAC,Organic | Organic | Event / Webinar | Live Stream,#EventRecap,2025-03-30 16:50:00,2025-03-30,Sunday,7,2025-03,16,16:00-17:59,Medium,Organic,Organic,Event / Webinar,Live Stream,24855,183821,30485,6235,3862,0.135213570658717,237594,0,434392,,,0.10461122755625142,,0.7736769447039908,0.0,2.3631249965999532,False,False,True,False,Full Workbook Only,133.7751,-25.2744
post_row_58,58,Post_58,X.com,X (Twitter),Australia,APAC,Organic | Organic | Product Promotion | Video,#ProductDemo,2024-03-14 12:28:00,2024-03-14,Thursday,4,2024-03,12,12:00-13:59,Medium,Organic,Organic,Product Promotion,Video,323794,2639325,539467,133147,71081,0.1226808084328589,2985835,2639325,0,,,0.10844336676340119,,0.8839487111645487,1.0,0.0,False,True,False,False,Full Workbook Only,133.7751,-25.2744
post_row_59,59,Post_59,YouTube,YouTube,Germany,Europe,Organic | Organic | Event / Webinar | Live Stream,#WebinarReplay,2024-06-07 17:53:00,2024-06-07,Friday,5,2024-06,17,16:00-17:59,Medium,Organic,Organic,Event / Webinar,Live Stream,90452,563553,116762,35509,17581,0.1605041931035219,727531,0,1606845,,,0.12432734825045255,,0.7746102915202239,0.0,2.8512757451384343,False,False,True,False,Full Workbook Only,10.4515,51.1657
post_row_60,60,Post_60,X.com,X (Twitter),UK,Europe,Organic | Organic | Customer Story | Text,#SuccessStory,2025-04-07 17:26:00,2025-04-07,Monday,1,2025-04,17,16:00-17:59,Medium,Organic,Organic,Customer Story,Text,15641,88777,16259,5378,3265,0.1761924857886797,102053,0,0,,,0.15326350033805963,,0.8699107326585206,0.0,0.0,False,False,False,False,Full Workbook Only,-3.436,55.3781
post_row_61,61,Post_61,TikTok,TikTok,USA,North America,Organic | Organic | Customer Story | Video,#SuccessStory,2024-05-14 16:21:00,2024-05-14,Tuesday,2,2024-05,16,16:00-17:59,Medium,Organic,Organic,Customer Story,Video,44094,226260,25946,12349,8810,0.1948850054210065,256723,468,0,3157.0,0.0123,0.1717571078555486,0.012297300981992264,0.8813390307841525,0.0020684168655529037,0.0,True,True,False,False,Full Workbook Only,-95.7129,37.0902
post_row_62,62,Post_62,YouTube,YouTube,Australia,APAC,Organic | Organic | Entertainment | Video,#TrendingNow,2024-10-13 15:11:00,2024-10-13,Sunday,7,2024-10,15,14:00-15:59,Low,Organic,Organic,Entertainment,Video,192243,3404004,561925,169945,151934,0.05647575983076096,4176776,3404004,0,,,0.04602664830481692,,0.8149836141559902,1.0,0.0,False,True,False,False,Full Workbook Only,133.7751,-25.2744
